seed,bad_source_gamma,method,normalized_performance,target_performance,oracle_performance,bad_source_weight,actual_bad_source_gamma,bad_source_mixing_coefficient,bad_source_nominal_transfer_performance,bad_source_local_gamma_max,bad_source_local_gamma_mean,penalty_type,p_norm,robust_q,sync_period,stepsize,source_index,source_type,prescribed_source_gamma,actual_source_gamma,local_gamma_max,local_gamma_mean,uniform_weight,similarity_weight
5,1.5,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,2.0,good,0.3,0.29999999999999993,0.29999999999999993,0.2860554498168586,0.25,0.17543927259277253
5,1.5,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,3.0,bad,1.5,1.5,1.5,1.4370696248105188,0.25,0.03508794808610418
5,1.8,Uniform,0.991182181699417,16.84361369685481,16.993458929997953,0.25,1.8,0.8999999999999998,14.771367590993341,1.8,1.7167560131160964,state_action_local,1,inf,1,0.01,,,,,,,,
5,1.8,Similarity-aware,0.9989519973758693,16.975649740446258,16.993458929997953,0.029411960783929263,1.8,0.8999999999999998,14.771367590993341,1.8,1.7167560131160964,state_action_local,1,inf,1,0.01,,,,,,,,
5,1.8,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,0.0,good,0.1,0.10000000000000012,0.10000000000000012,0.09382263065935244,0.25,0.5294102941273933
5,1.8,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,1.0,good,0.2,0.20000000000000004,0.20000000000000004,0.18877093572133566,0.25,0.2647064705828143
5,1.8,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,2.0,good,0.3,0.29999999999999993,0.29999999999999993,0.2860554498168586,0.25,0.1764712745058632
5,1.8,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,3.0,bad,1.8,1.8,1.8,1.7167560131160964,0.25,0.029411960783929263
6,0.9,Uniform,0.9962724132794408,15.690069913145146,15.74877483709297,0.25,0.9,0.4499999999999999,15.071078330083918,0.9,0.84513780349187,state_action_local,1,inf,1,0.01,,,,,,,,
6,0.9,Similarity-aware,0.9965314755284516,15.694149826173607,15.74877483709297,0.057143197277965664,0.9,0.4499999999999999,15.071078330083918,0.9,0.84513780349187,state_action_local,1,inf,1,0.01,,,,,,,,
6,0.9,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,0.0,good,0.1,0.1000000000000001,0.1000000000000001,0.09381259661675999,0.25,0.5142842040916229
6,0.9,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,1.0,good,0.2,0.2,0.2,0.18643127368957113,0.25,0.25714338774989315
6,0.9,metadata,,,,,,,,,,state_action_local,1,inf,1,0.01,2.0,good,0.3,0.29999999999999993,0.29999999999999993,0.2745328473814595,0.25,0.17142921088051835
